imsi|timeid|ibmaaf_bytestotal_by_cell_sitename|ibmaaf_bytestotal_by_application|dt|sgm
272211221122000|20170601000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706010000|0
272211221122001|20170601000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706010000|0
272211221122000|20170602000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706020000|0
272211221122001|20170602000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706020000|0
272211221122000|20170603000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706030000|0
272211221122001|20170603000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706030000|0
272211221122000|20170604000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706040000|0
272211221122001|20170604000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706040000|0
272211221122000|20170605000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706050000|0
272211221122001|20170605000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706050000|0
