DATE|IMSI|DOMAIN|WEIGHTING|DEVICE|PLAN
feb 1013|100|www.wikipedia.org|22|iPhone 7 Plus|Lifestyle 360
feb 1013|100|www.cnn.net|34|HTC 10|Just For You
feb 1013|100|www.google.com|58|Samsung Note 4|Monthly 200
feb 1013|101|www.fox.com|42|iPhone 5S|Family & Friends
feb 1013|101|www.facebook.com|93|iPhone 5|Lifestyle 360
feb 1013|101|www.espn.com|81|Samsung S5 Plus|Business Special
feb 1013|102|www.blogger.com|24|iPhone 7 Plus|Off Peak - Family & Friends
feb 1013|102|www.pandora|89|HTC 10|Family & Friends
feb 1013|102|www.bbc.co.uk|96|iPhone 6S|Monthly 200
feb 1013|103|www.microsoft.com|0|Google Pixel|Off Peak - Family & Friends
feb 1013|103|www.espn.com|11|Samsung Note 5|Business Special
feb 1013|103|www.bbc.co.uk|46|iPhone 7 Plus|Monthly 200
feb 1013|104|www.ebay.com|96|Samsung S5|Monthly 500
feb 1013|104|www.rydercup.com|36|HTC 10|Off Peak - All the Data
feb 1013|104|www.espn.com|55|iPhone 7 Plus|Just For You
