DATE|IMSI|PRIMARY INTEREST|SECONDARY INTEREST|WEIGHTING
FEBRUARY 2016|123456700000000|News & Media|News|23
FEBRUARY 2016|123456700000000|Finance|Banking|26
FEBRUARY 2016|123456700000000|Arts & Entertainment|TV & Video|15
FEBRUARY 2016|123456700000000|News & Media|News|57
FEBRUARY 2016|123456700000000|Arts & Entertainment|TV & Video|70
FEBRUARY 2016|123456700000001|Finance|Banking|62
FEBRUARY 2016|123456700000001|Sport|Sport|12
FEBRUARY 2016|123456700000001|Internet & Telecom|Social Networking|10
FEBRUARY 2016|123456700000001|Arts & Entertainment|TV & Video|56
FEBRUARY 2016|123456700000001|Books & Literature|Book Retailers|66
FEBRUARY 2016|123456700000002|Gambling|Sports Gambling|54
FEBRUARY 2016|123456700000002|Books & Literature|Book Retailers|70
FEBRUARY 2016|123456700000002|News & Media|Magazines & E-Zines|29
FEBRUARY 2016|123456700000002|Sport|Golf|3
FEBRUARY 2016|123456700000002|Internet & Telecom|Social Networking|24
FEBRUARY 2016|123456700000003|Sport|Golf|62
FEBRUARY 2016|123456700000003|Finance|Banking|22
FEBRUARY 2016|123456700000003|Sport|Rugby|65
FEBRUARY 2016|123456700000003|News & Media|Magazines & E-Zines|58
FEBRUARY 2016|123456700000003|News & Media|Science|50
FEBRUARY 2016|123456700000004|News & Media|Science|59
FEBRUARY 2016|123456700000004|News & Media|Magazines & E-Zines|32
FEBRUARY 2016|123456700000004|Arts & Entertainment|TV & Video|89
FEBRUARY 2016|123456700000004|Sport|Sport|86
FEBRUARY 2016|123456700000004|Sport|Rugby|23
FEBRUARY 2016|123456700000005|News & Media|Magazines & E-Zines|12
FEBRUARY 2016|123456700000005|News & Media|News|4
FEBRUARY 2016|123456700000005|Finance|Banking|6
FEBRUARY 2016|123456700000005|Sport|Golf|67
FEBRUARY 2016|123456700000005|Sport|Sport|69
FEBRUARY 2016|123456700000006|Books & Literature|Book Retailers|84
FEBRUARY 2016|123456700000006|Arts & Entertainment|TV & Video|84
FEBRUARY 2016|123456700000006|Arts & Entertainment|TV & Video|93
FEBRUARY 2016|123456700000006|Internet & Telecom|Social Networking|21
FEBRUARY 2016|123456700000006|Sport|Golf|40
FEBRUARY 2016|123456700000007|Gambling|Sports Gambling|56
FEBRUARY 2016|123456700000007|Sport|Rugby|49
FEBRUARY 2016|123456700000007|Arts & Entertainment|TV & Video|31
FEBRUARY 2016|123456700000007|Sport|Rugby|83
FEBRUARY 2016|123456700000007|Internet & Telecom|Social Networking|62
FEBRUARY 2016|123456700000008|Gambling|Sports Gambling|57
FEBRUARY 2016|123456700000008|News & Media|Magazines & E-Zines|34
FEBRUARY 2016|123456700000008|Finance|Banking|0
FEBRUARY 2016|123456700000008|Gambling|Sports Gambling|95
