IMSI|Location|Affinity|Service Usage Profile
123456700000000|Liffey Valley|Home|High Voice
123456700000001|Dundrum|Leisure|High Voice & SMS
123456700000002|Dundrum|Work|High SMS - Low Data
123456700000003|Swords Pavillion|Home|Low Usage Overall
123456700000004|Blanchardstown|Work|Low Usage Overall
123456700000005|Swords Pavillion|Work|Low Usage Overall
123456700000006|Liffey Valley|Leisure|Low Usage Overall
123456700000007|Swords Pavillion|Leisure|Average User
123456700000008|Dundrum|Home|High Voice & SMS
123456700000009|Liffey Valley|Work|High Voice
123456700000010|Dundrum|Work|Low Usage Overall
123456700000011|Dundrum|Home|High Voice & SMS
123456700000012|Liffey Valley|Home|High Voice
123456700000013|Dundrum|Home|Big Data
123456700000014|Liffey Valley|Work|Big Data
123456700000015|Liffey Valley|Home|High SMS - Low Data
123456700000016|Blanchardstown|Home|High Voice & SMS
123456700000017|Blanchardstown|Leisure|Average User
123456700000018|Blanchardstown|Home|High Voice & SMS
123456700000019|Liffey Valley|Work|Low Usage Overall
123456700000020|Swords Pavillion|Work|High Voice & SMS
123456700000021|Swords Pavillion|Leisure|Big Data
123456700000022|Swords Pavillion|Home|High Voice & SMS
123456700000023|Liffey Valley|Home|Average User
123456700000024|Dundrum|Work|High SMS - Low Data
123456700000025|Blanchardstown|Work|Low Usage Overall
123456700000026|Blanchardstown|Work|High Voice
123456700000027|Dundrum|Leisure|Average User
123456700000028|Swords Pavillion|Work|Big Data
123456700000029|Liffey Valley|Home|High Voice
123456700000030|Dundrum|Work|High Voice
123456700000031|Dundrum|Leisure|High Voice
123456700000032|Liffey Valley|Home|High Voice & SMS
123456700000033|Swords Pavillion|Home|High Voice
123456700000034|Liffey Valley|Leisure|High Voice
123456700000035|Swords Pavillion|Home|Big Data
123456700000036|Dundrum|Leisure|Big Data
123456700000037|Liffey Valley|Work|Low Usage Overall
123456700000038|Liffey Valley|Work|High SMS - Low Data
123456700000039|Dundrum|Home|High Voice & SMS
123456700000040|Dundrum|Home|High Voice
123456700000041|Liffey Valley|Home|Average User
123456700000042|Blanchardstown|Work|Average User
123456700000043|Swords Pavillion|Leisure|High Voice & SMS
123456700000044|Blanchardstown|Leisure|Low Usage Overall
123456700000045|Blanchardstown|Home|Big Data
123456700000046|Liffey Valley|Work|High Voice & SMS
123456700000047|Dundrum|Home|Low Usage Overall
123456700000048|Dundrum|Leisure|High SMS - Low Data
123456700000049|Blanchardstown|Leisure|Big Data
123456700000050|Blanchardstown|Leisure|Big Data
123456700000051|Liffey Valley|Home|High Voice & SMS
123456700000052|Blanchardstown|Leisure|High Voice & SMS
123456700000053|Dundrum|Work|High SMS - Low Data
123456700000054|Dundrum|Leisure|High Voice
123456700000055|Swords Pavillion|Home|High Voice
123456700000056|Dundrum|Work|Average User
123456700000057|Dundrum|Work|High Voice & SMS
123456700000058|Liffey Valley|Leisure|High Voice
123456700000059|Blanchardstown|Work|Average User
123456700000060|Swords Pavillion|Leisure|High Voice & SMS
123456700000061|Blanchardstown|Home|High Voice
123456700000062|Liffey Valley|Work|Average User
123456700000063|Swords Pavillion|Home|Big Data
123456700000064|Liffey Valley|Work|Big Data
123456700000065|Liffey Valley|Leisure|High Voice & SMS
123456700000066|Swords Pavillion|Work|Average User
123456700000067|Swords Pavillion|Leisure|High Voice & SMS
123456700000068|Liffey Valley|Home|High Voice & SMS
123456700000069|Swords Pavillion|Leisure|High Voice & SMS
123456700000070|Swords Pavillion|Work|Big Data
123456700000071|Dundrum|Leisure|High Voice & SMS
123456700000072|Dundrum|Leisure|High Voice & SMS
123456700000073|Swords Pavillion|Home|High SMS - Low Data
123456700000074|Liffey Valley|Leisure|Average User
123456700000075|Dundrum|Leisure|High Voice
123456700000076|Dundrum|Home|High Voice & SMS
123456700000077|Blanchardstown|Leisure|High Voice & SMS
123456700000078|Blanchardstown|Home|Low Usage Overall
123456700000079|Dundrum|Home|Average User
123456700000080|Blanchardstown|Work|Average User
123456700000081|Dundrum|Home|Average User
123456700000082|Swords Pavillion|Leisure|Low Usage Overall
123456700000083|Dundrum|Leisure|High Voice
123456700000084|Blanchardstown|Home|High Voice
123456700000085|Dundrum|Leisure|High Voice
123456700000086|Swords Pavillion|Home|High Voice
123456700000087|Swords Pavillion|Leisure|High Voice
123456700000088|Liffey Valley|Leisure|High Voice & SMS
123456700000089|Blanchardstown|Work|Average User
123456700000090|Liffey Valley|Work|High SMS - Low Data
123456700000091|Blanchardstown|Work|Low Usage Overall
123456700000092|Blanchardstown|Work|Average User
123456700000093|Swords Pavillion|Work|Average User
123456700000094|Liffey Valley|Work|High Voice & SMS
123456700000095|Swords Pavillion|Leisure|Big Data
123456700000096|Swords Pavillion|Work|Average User
123456700000097|Blanchardstown|Leisure|High Voice & SMS
123456700000098|Blanchardstown|Leisure|High Voice
123456700000099|Liffey Valley|Home|High Voice
123456700000100|Swords Pavillion|Home|Low Usage Overall
123456700000101|Swords Pavillion|Work|Low Usage Overall
123456700000102|Swords Pavillion|Work|Low Usage Overall
123456700000103|Blanchardstown|Home|Low Usage Overall
123456700000104|Swords Pavillion|Home|High Voice
123456700000105|Blanchardstown|Leisure|Low Usage Overall
123456700000106|Swords Pavillion|Home|High Voice
123456700000107|Dundrum|Work|High Voice
123456700000108|Blanchardstown|Leisure|High Voice
123456700000109|Swords Pavillion|Leisure|Low Usage Overall
123456700000110|Blanchardstown|Leisure|Low Usage Overall
123456700000111|Swords Pavillion|Leisure|Average User
123456700000112|Dundrum|Work|Average User
123456700000113|Swords Pavillion|Leisure|Average User
123456700000114|Liffey Valley|Leisure|High Voice
123456700000115|Dundrum|Work|High SMS - Low Data
123456700000116|Swords Pavillion|Leisure|High Voice
123456700000117|Liffey Valley|Home|Low Usage Overall
123456700000118|Dundrum|Work|Low Usage Overall
123456700000119|Liffey Valley|Leisure|Low Usage Overall
123456700000120|Blanchardstown|Leisure|Big Data
123456700000121|Liffey Valley|Home|High Voice & SMS
123456700000122|Liffey Valley|Leisure|High SMS - Low Data
123456700000123|Blanchardstown|Leisure|High Voice
123456700000124|Liffey Valley|Work|Big Data
123456700000125|Liffey Valley|Leisure|Average User
123456700000126|Blanchardstown|Leisure|Average User
123456700000127|Swords Pavillion|Work|Big Data
123456700000128|Liffey Valley|Home|High Voice
123456700000129|Swords Pavillion|Home|Low Usage Overall
123456700000130|Blanchardstown|Home|High SMS - Low Data
123456700000131|Swords Pavillion|Work|Low Usage Overall
123456700000132|Dundrum|Work|Big Data
123456700000133|Swords Pavillion|Leisure|High SMS - Low Data
123456700000134|Swords Pavillion|Home|Big Data
123456700000135|Swords Pavillion|Leisure|Low Usage Overall
123456700000136|Dundrum|Work|Average User
123456700000137|Swords Pavillion|Leisure|High SMS - Low Data
123456700000138|Liffey Valley|Home|High Voice
123456700000139|Liffey Valley|Home|Low Usage Overall
123456700000140|Swords Pavillion|Home|Big Data
123456700000141|Dundrum|Leisure|High Voice
123456700000142|Swords Pavillion|Leisure|Big Data
123456700000143|Swords Pavillion|Leisure|Average User
123456700000144|Swords Pavillion|Home|Low Usage Overall
123456700000145|Dundrum|Leisure|Average User
123456700000146|Blanchardstown|Home|High SMS - Low Data
123456700000147|Liffey Valley|Home|High Voice
123456700000148|Dundrum|Leisure|High SMS - Low Data
123456700000149|Swords Pavillion|Home|High SMS - Low Data
123456700000150|Blanchardstown|Leisure|Big Data
123456700000151|Dundrum|Home|High Voice & SMS
123456700000152|Swords Pavillion|Work|High Voice
123456700000153|Blanchardstown|Home|High SMS - Low Data
123456700000154|Dundrum|Leisure|High SMS - Low Data
123456700000155|Liffey Valley|Leisure|Big Data
123456700000156|Blanchardstown|Work|High Voice
123456700000157|Swords Pavillion|Work|Big Data
123456700000158|Dundrum|Leisure|Big Data
123456700000159|Dundrum|Home|Average User
123456700000160|Blanchardstown|Work|High Voice & SMS
123456700000161|Swords Pavillion|Home|Low Usage Overall
123456700000162|Swords Pavillion|Work|Low Usage Overall
123456700000163|Liffey Valley|Home|High Voice
123456700000164|Dundrum|Leisure|High Voice
123456700000165|Dundrum|Work|Low Usage Overall
123456700000166|Swords Pavillion|Work|High Voice
123456700000167|Swords Pavillion|Work|Low Usage Overall
123456700000168|Dundrum|Home|High SMS - Low Data
123456700000169|Liffey Valley|Leisure|Low Usage Overall
123456700000170|Liffey Valley|Home|Low Usage Overall
123456700000171|Liffey Valley|Leisure|Low Usage Overall
123456700000172|Swords Pavillion|Leisure|Big Data
123456700000173|Swords Pavillion|Home|Big Data
123456700000174|Swords Pavillion|Home|Big Data
123456700000175|Blanchardstown|Home|Low Usage Overall
123456700000176|Swords Pavillion|Leisure|High Voice
123456700000177|Swords Pavillion|Leisure|High SMS - Low Data
123456700000178|Dundrum|Work|High Voice
123456700000179|Dundrum|Home|Big Data
123456700000180|Blanchardstown|Work|High Voice
123456700000181|Blanchardstown|Leisure|High SMS - Low Data
123456700000182|Liffey Valley|Home|Big Data
123456700000183|Liffey Valley|Work|Average User
123456700000184|Dundrum|Work|Low Usage Overall
123456700000185|Liffey Valley|Work|High Voice & SMS
123456700000186|Swords Pavillion|Home|High Voice
123456700000187|Dundrum|Home|High Voice
123456700000188|Blanchardstown|Leisure|High Voice
123456700000189|Dundrum|Leisure|High SMS - Low Data
123456700000190|Swords Pavillion|Leisure|Low Usage Overall
123456700000191|Dundrum|Home|Big Data
123456700000192|Swords Pavillion|Leisure|High SMS - Low Data
123456700000193|Blanchardstown|Work|Big Data
123456700000194|Dundrum|Work|Average User
123456700000195|Liffey Valley|Home|Average User
123456700000196|Blanchardstown|Work|Big Data
123456700000197|Dundrum|Leisure|High SMS - Low Data
123456700000198|Swords Pavillion|Leisure|Average User
123456700000199|Blanchardstown|Work|Low Usage Overall
123456700000200|Dundrum|Leisure|High Voice
123456700000201|Swords Pavillion|Work|Low Usage Overall
123456700000202|Swords Pavillion|Home|Average User
123456700000203|Blanchardstown|Home|High Voice
123456700000204|Dundrum|Leisure|Low Usage Overall
123456700000205|Dundrum|Home|Average User
123456700000206|Dundrum|Leisure|Average User
123456700000207|Dundrum|Home|High SMS - Low Data
123456700000208|Dundrum|Home|High SMS - Low Data
123456700000209|Dundrum|Work|Average User
123456700000210|Blanchardstown|Work|Big Data
123456700000211|Blanchardstown|Home|Average User
123456700000212|Swords Pavillion|Work|High SMS - Low Data
123456700000213|Liffey Valley|Leisure|High Voice
123456700000214|Liffey Valley|Work|Big Data
123456700000215|Blanchardstown|Home|Low Usage Overall
123456700000216|Blanchardstown|Home|High Voice & SMS
123456700000217|Liffey Valley|Leisure|High Voice & SMS
123456700000218|Dundrum|Leisure|Big Data
123456700000219|Dundrum|Work|High SMS - Low Data
123456700000220|Liffey Valley|Work|Average User
123456700000221|Liffey Valley|Home|Average User
123456700000222|Dundrum|Home|Low Usage Overall
123456700000223|Blanchardstown|Leisure|Big Data
123456700000224|Liffey Valley|Home|Average User
123456700000225|Swords Pavillion|Home|High SMS - Low Data
123456700000226|Dundrum|Home|High Voice
123456700000227|Dundrum|Leisure|Average User
123456700000228|Blanchardstown|Work|High SMS - Low Data
123456700000229|Dundrum|Leisure|High Voice
123456700000230|Dundrum|Work|Low Usage Overall
123456700000231|Swords Pavillion|Leisure|High Voice
123456700000232|Liffey Valley|Leisure|High SMS - Low Data
123456700000233|Liffey Valley|Work|High Voice & SMS
123456700000234|Liffey Valley|Work|Low Usage Overall
123456700000235|Blanchardstown|Home|High Voice & SMS
123456700000236|Swords Pavillion|Home|High SMS - Low Data
123456700000237|Swords Pavillion|Home|High Voice
123456700000238|Liffey Valley|Leisure|Average User
123456700000239|Dundrum|Leisure|Average User
123456700000240|Liffey Valley|Leisure|Average User
123456700000241|Swords Pavillion|Work|Average User
123456700000242|Dundrum|Work|High SMS - Low Data
123456700000243|Blanchardstown|Home|High SMS - Low Data
123456700000244|Liffey Valley|Work|Average User
123456700000245|Liffey Valley|Home|High Voice & SMS
123456700000246|Blanchardstown|Home|Big Data
123456700000247|Swords Pavillion|Work|Low Usage Overall
123456700000248|Swords Pavillion|Home|High Voice
123456700000249|Blanchardstown|Leisure|High SMS - Low Data
123456700000250|Dundrum|Home|High Voice & SMS
123456700000251|Blanchardstown|Home|Big Data
123456700000252|Swords Pavillion|Work|Low Usage Overall
123456700000253|Liffey Valley|Work|High Voice
123456700000254|Liffey Valley|Leisure|High Voice & SMS
123456700000255|Liffey Valley|Leisure|Average User
123456700000256|Swords Pavillion|Home|Average User
123456700000257|Liffey Valley|Home|High Voice & SMS
123456700000258|Blanchardstown|Home|High Voice
123456700000259|Blanchardstown|Home|Big Data
123456700000260|Swords Pavillion|Home|High Voice
123456700000261|Liffey Valley|Leisure|High Voice & SMS
