DATE|IMSI|MOBILITY PROFILE|SERVICE USAGE PROFILE
FEBRUARY 2016|123456700000000|Busy|High Voice & SMS
FEBRUARY 2016|123456700000001|Night Shift|High SMS - Low Data
FEBRUARY 2016|123456700000002|Night Shift|High SMS - Low Data
FEBRUARY 2016|123456700000003|Busy|Low Usage Overall
FEBRUARY 2016|123456700000004|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000005|Norm Peterson|Average User
FEBRUARY 2016|123456700000006|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000007|Busy|High Voice & SMS
FEBRUARY 2016|123456700000008|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000009|Busy|Average User
FEBRUARY 2016|123456700000010|Homebody|Big Data
FEBRUARY 2016|123456700000011|Daily Grinder|Big Data
FEBRUARY 2016|123456700000012|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000013|Busy|High Voice & SMS
FEBRUARY 2016|123456700000014|Night Shift|Big Data
FEBRUARY 2016|123456700000015|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000016|Night Shift|Average User
FEBRUARY 2016|123456700000017|Homebody|Low Usage Overall
FEBRUARY 2016|123456700000018|Busy|Low Usage Overall
FEBRUARY 2016|123456700000019|Busy|High Voice
FEBRUARY 2016|123456700000020|Busy|Average User
FEBRUARY 2016|123456700000021|Night Shift|High Voice
FEBRUARY 2016|123456700000022|Norm Peterson|Average User
FEBRUARY 2016|123456700000023|Norm Peterson|Big Data
FEBRUARY 2016|123456700000024|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000025|Norm Peterson|High Voice
FEBRUARY 2016|123456700000026|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000027|Busy|High Voice & SMS
FEBRUARY 2016|123456700000028|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000029|Night Shift|High Voice
FEBRUARY 2016|123456700000030|Homebody|High Voice
FEBRUARY 2016|123456700000031|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000032|Norm Peterson|Average User
FEBRUARY 2016|123456700000033|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000034|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000035|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000036|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000037|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000038|Busy|High Voice & SMS
FEBRUARY 2016|123456700000039|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000040|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000041|Daily Grinder|High SMS - Low Data
FEBRUARY 2016|123456700000042|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000043|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000044|Night Shift|Big Data
FEBRUARY 2016|123456700000045|Norm Peterson|High Voice
FEBRUARY 2016|123456700000046|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000047|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000048|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000049|Night Shift|High Voice
FEBRUARY 2016|123456700000050|Night Shift|High Voice
FEBRUARY 2016|123456700000051|Daily Grinder|High SMS - Low Data
FEBRUARY 2016|123456700000052|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000053|Night Shift|High Voice
FEBRUARY 2016|123456700000054|Delivering The Goods|Big Data
FEBRUARY 2016|123456700000055|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000056|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000057|Night Shift|High Voice
FEBRUARY 2016|123456700000058|Delivering The Goods|Average User
FEBRUARY 2016|123456700000059|Delivering The Goods|Big Data
FEBRUARY 2016|123456700000060|Norm Peterson|High Voice
FEBRUARY 2016|123456700000061|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000062|Night Shift|Big Data
FEBRUARY 2016|123456700000063|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000064|Daily Grinder|High Voice
FEBRUARY 2016|123456700000065|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000066|Busy|Big Data
FEBRUARY 2016|123456700000067|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000068|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000069|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000070|Night Shift|Big Data
FEBRUARY 2016|123456700000071|Night Shift|Average User
FEBRUARY 2016|123456700000072|Night Shift|High SMS - Low Data
FEBRUARY 2016|123456700000073|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000074|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000075|Norm Peterson|Average User
FEBRUARY 2016|123456700000076|Night Shift|High Voice
FEBRUARY 2016|123456700000077|Homebody|High Voice
FEBRUARY 2016|123456700000078|Busy|High Voice & SMS
FEBRUARY 2016|123456700000079|Delivering The Goods|Big Data
FEBRUARY 2016|123456700000080|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000081|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000082|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000083|Norm Peterson|Average User
FEBRUARY 2016|123456700000084|Daily Grinder|Average User
FEBRUARY 2016|123456700000085|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000086|Busy|Big Data
FEBRUARY 2016|123456700000087|Daily Grinder|High Voice
FEBRUARY 2016|123456700000088|Homebody|High Voice
FEBRUARY 2016|123456700000089|Daily Grinder|Big Data
FEBRUARY 2016|123456700000090|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000091|Homebody|Low Usage Overall
FEBRUARY 2016|123456700000092|Homebody|Average User
FEBRUARY 2016|123456700000093|Daily Grinder|Big Data
FEBRUARY 2016|123456700000094|Night Shift|Big Data
FEBRUARY 2016|123456700000095|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000096|Busy|Low Usage Overall
FEBRUARY 2016|123456700000097|Norm Peterson|Average User
FEBRUARY 2016|123456700000098|Delivering The Goods|Average User
FEBRUARY 2016|123456700000099|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000100|Night Shift|High SMS - Low Data
