"Homebody","High Voice and SMS","MALE","66+","Blackberry PRIV"
"Norm Peterson","High Voice and SMS","MALE","66+","Blackberry PRIV"
"Homebody","Average User","FEMALE","18-30","HTC One"
"Busy","High SMS - Low Data","FEMALE","18-30","HTC One"
"Daily Grinder","High SMS - Low Data","FEMALE","18-30","HTC One"
"Delivering The Goods","High SMS - Low Data","FEMALE","18-30","HTC One"
"Night Shift","High SMS - Low Data","FEMALE","18-30","HTC One"
"Daily Grinder","Low Usage Overall","FEMALE","18-30","HTC One"
"Night Shift","Low Usage Overall","FEMALE","18-30","HTC One"
"Delivering The Goods","Average User","MALE","18-30","HTC One"
"Norm Peterson","Average User","MALE","18-30","HTC One"
"Busy","High SMS - Low Data","MALE","18-30","HTC One"
"Night Shift","High SMS - Low Data","MALE","18-30","HTC One"
"Norm Peterson","High SMS - Low Data","MALE","18-30","HTC One"
"Busy","Low Usage Overall","MALE","18-30","HTC One"
"Daily Grinder","Low Usage Overall","MALE","18-30","HTC One"
"Night Shift","Average User","FEMALE","31-40","HTC One"
"Norm Peterson","Average User","FEMALE","31-40","HTC One"
"Daily Grinder","High SMS - Low Data","FEMALE","31-40","HTC One"
"Busy","Low Usage Overall","FEMALE","31-40","HTC One"
"Delivering The Goods","Low Usage Overall","FEMALE","31-40","HTC One"
"Night Shift","Low Usage Overall","FEMALE","31-40","HTC One"
"Busy","Average User","MALE","31-40","HTC One"
"Homebody","Average User","MALE","31-40","HTC One"
"Night Shift","High SMS - Low Data","MALE","31-40","HTC One"
"Daily Grinder","Low Usage Overall","MALE","31-40","HTC One"
"Homebody","Low Usage Overall","MALE","31-40","HTC One"
"Daily Grinder","High SMS - Low Data","FEMALE","41-50","HTC One"
"Delivering The Goods","High SMS - Low Data","FEMALE","41-50","HTC One"
"Busy","Low Usage Overall","FEMALE","41-50","HTC One"
"Busy","Average User","MALE","41-50","HTC One"
"Delivering The Goods","High SMS - Low Data","MALE","41-50","HTC One"
"Delivering The Goods","Low Usage Overall","MALE","41-50","HTC One"
"Night Shift","Low Usage Overall","MALE","41-50","HTC One"
"Norm Peterson","Low Usage Overall","MALE","41-50","HTC One"
"Busy","Average User","FEMALE","51-65","HTC One"
"Norm Peterson","Average User","FEMALE","51-65","HTC One"
"Busy","Average User","FEMALE","66+","HTC One"
"Busy","High SMS - Low Data","FEMALE","66+","HTC One"
"Homebody","High SMS - Low Data","FEMALE","66+","HTC One"
"Norm Peterson","Average User","MALE","66+","HTC One"
"Busy","High SMS - Low Data","MALE","66+","HTC One"
"Norm Peterson","Low Usage Overall","MALE","66+","HTC One"
"Homebody","Big Data","FEMALE","18-30","iPad 2"
"Night Shift","Big Data","FEMALE","18-30","iPad 2"
"Daily Grinder","Big Data","MALE","18-30","iPad 2"
"Night Shift","Big Data","MALE","18-30","iPad 2"
"Norm Peterson","Big Data","FEMALE","31-40","iPad 2"
"Night Shift","Big Data","MALE","31-40","iPad 2"
"Norm Peterson","Big Data","MALE","31-40","iPad 2"
"Delivering The Goods","Big Data","MALE","41-50","iPad 2"
"Busy","Big Data","MALE","51-65","iPad 2"
"Homebody","Big Data","MALE","51-65","iPad 2"
"Homebody","Big Data","FEMALE","18-30","iPad Air"
"Night Shift","Big Data","MALE","18-30","iPad Air"
"Norm Peterson","Big Data","MALE","18-30","iPad Air"
"Night Shift","Big Data","FEMALE","31-40","iPad Air"
"Norm Peterson","Big Data","FEMALE","31-40","iPad Air"
"Daily Grinder","Big Data","MALE","31-40","iPad Air"
"Homebody","Big Data","MALE","31-40","iPad Air"
"Night Shift","Big Data","MALE","31-40","iPad Air"
"Norm Peterson","High Voice","FEMALE","18-30","Blackberry PRIV"
"Homebody","High Voice and SMS","FEMALE","18-30","Blackberry PRIV"
"Norm Peterson","High Voice","MALE","18-30","Blackberry PRIV"
"Busy","High Voice and SMS","MALE","18-30","Blackberry PRIV"
"Night Shift","High Voice and SMS","MALE","18-30","Blackberry PRIV"
"Delivering The Goods","High Voice","FEMALE","31-40","Blackberry PRIV"
"Busy","High Voice and SMS","FEMALE","31-40","Blackberry PRIV"
"Delivering The Goods","High Voice and SMS","FEMALE","31-40","Blackberry PRIV"
"Homebody","High Voice and SMS","FEMALE","31-40","Blackberry PRIV"
"Norm Peterson","High Voice and SMS","FEMALE","31-40","Blackberry PRIV"
"Delivering The Goods","High Voice and SMS","MALE","31-40","Blackberry PRIV"
"Delivering The Goods","High Voice","FEMALE","41-50","Blackberry PRIV"
"Homebody","High Voice","FEMALE","41-50","Blackberry PRIV"
"Night Shift","High Voice and SMS","FEMALE","41-50","Blackberry PRIV"
"Night Shift","High Voice","MALE","41-50","Blackberry PRIV"
"Busy","High Voice and SMS","MALE","41-50","Blackberry PRIV"
"Delivering The Goods","High Voice and SMS","MALE","41-50","Blackberry PRIV"
"Norm Peterson","High Voice and SMS","MALE","41-50","Blackberry PRIV"
"Delivering The Goods","High Voice","FEMALE","51-65","Blackberry PRIV"
"Delivering The Goods","High Voice and SMS","FEMALE","51-65","Blackberry PRIV"
"Norm Peterson","High Voice and SMS","FEMALE","51-65","Blackberry PRIV"
"Daily Grinder","High Voice","MALE","51-65","Blackberry PRIV"
"Homebody","High Voice","MALE","51-65","Blackberry PRIV"
"Night Shift","High Voice","MALE","51-65","Blackberry PRIV"
"Daily Grinder","High Voice and SMS","MALE","51-65","Blackberry PRIV"
"Delivering The Goods","High Voice and SMS","MALE","51-65","Blackberry PRIV"
"Night Shift","High Voice","FEMALE","66+","Blackberry PRIV"
"Norm Peterson","High Voice","FEMALE","66+","Blackberry PRIV"
"Night Shift","High Voice and SMS","FEMALE","66+","Blackberry PRIV"
"Delivering The Goods","High Voice","MALE","66+","Blackberry PRIV"
"Busy","High Voice and SMS","MALE","66+","Blackberry PRIV"
"Delivering The Goods","High Voice and SMS","MALE","66+","Blackberry PRIV"
"Busy","High Voice and SMS","MALE","41-50","iPhone 5c"
"Daily Grinder","High Voice and SMS","MALE","41-50","iPhone 5c"
"Delivering The Goods","High Voice and SMS","MALE","41-50","iPhone 5c"
"Busy","Low Usage Overall","MALE","41-50","iPhone 5c"
"Delivering The Goods","Low Usage Overall","MALE","41-50","iPhone 5c"
"Homebody","Low Usage Overall","MALE","41-50","iPhone 5c"
"Daily Grinder","Average User","FEMALE","51-65","iPhone 5c"
"Homebody","Average User","FEMALE","51-65","iPhone 5c"
"Night Shift","Average User","FEMALE","51-65","iPhone 5c"
"Daily Grinder","High SMS - Low Data","FEMALE","51-65","iPhone 5c"
"Delivering The Goods","High SMS - Low Data","FEMALE","51-65","iPhone 5c"
"Homebody","High Voice","FEMALE","51-65","iPhone 5c"
"Norm Peterson","High Voice","FEMALE","51-65","iPhone 5c"
"Night Shift","High Voice and SMS","FEMALE","51-65","iPhone 5c"
"Busy","Average User","MALE","51-65","iPhone 5c"
"Homebody","Average User","MALE","51-65","iPhone 5c"
"Delivering The Goods","High Voice","MALE","51-65","iPhone 5c"
"Delivering The Goods","High Voice and SMS","MALE","51-65","iPhone 5c"
"Norm Peterson","High Voice and SMS","MALE","51-65","iPhone 5c"
"Busy","Low Usage Overall","MALE","51-65","iPhone 5c"
"Homebody","Low Usage Overall","MALE","51-65","iPhone 5c"
"Night Shift","Low Usage Overall","MALE","51-65","iPhone 5c"
"Norm Peterson","Big Data","FEMALE","41-50","iPad 2"
"Night Shift","High SMS - Low Data","MALE","41-50","iPhone 5"
"Daily Grinder","Low Usage Overall","MALE","41-50","iPhone 5"
"Homebody","Low Usage Overall","MALE","41-50","iPhone 5"
"Daily Grinder","Average User","FEMALE","51-65","iPhone 5"
"Delivering The Goods","Average User","FEMALE","51-65","iPhone 5"
"Night Shift","Average User","FEMALE","51-65","iPhone 5"
"Delivering The Goods","High SMS - Low Data","FEMALE","51-65","iPhone 5"
"Norm Peterson","High SMS - Low Data","FEMALE","51-65","iPhone 5"
"Busy","Average User","MALE","51-65","iPhone 5"
"Busy","High SMS - Low Data","MALE","51-65","iPhone 5"
"Delivering The Goods","High SMS - Low Data","MALE","51-65","iPhone 5"
"Delivering The Goods","Low Usage Overall","MALE","51-65","iPhone 5"
"Homebody","Low Usage Overall","MALE","51-65","iPhone 5"
"Night Shift","Low Usage Overall","MALE","51-65","iPhone 5"
"Delivering The Goods","Low Usage Overall","FEMALE","66+","iPhone 5"
"Homebody","Low Usage Overall","FEMALE","66+","iPhone 5"
"Daily Grinder","Average User","MALE","66+","iPhone 5"
"Homebody","Average User","MALE","66+","iPhone 5"
"Night Shift","Average User","MALE","66+","iPhone 5"
"Homebody","High SMS - Low Data","MALE","66+","iPhone 5"
"Delivering The Goods","High Voice","FEMALE","18-30","iPhone 5c"
"Homebody","High Voice","FEMALE","18-30","iPhone 5c"
"Night Shift","High Voice","FEMALE","18-30","iPhone 5c"
"Busy","High Voice and SMS","FEMALE","18-30","iPhone 5c"
"Delivering The Goods","High Voice and SMS","FEMALE","18-30","iPhone 5c"
"Norm Peterson","High Voice and SMS","FEMALE","18-30","iPhone 5c"
"Norm Peterson","Low Usage Overall","FEMALE","18-30","iPhone 5c"
"Daily Grinder","Average User","MALE","18-30","iPhone 5c"
"Homebody","Average User","MALE","18-30","iPhone 5c"
"Busy","High SMS - Low Data","MALE","18-30","iPhone 5c"
"Daily Grinder","High SMS - Low Data","MALE","18-30","iPhone 5c"
"Night Shift","High Voice","MALE","18-30","iPhone 5c"
"Busy","High Voice and SMS","MALE","18-30","iPhone 5c"
"Busy","Average User","FEMALE","31-40","iPhone 5c"
"Daily Grinder","Average User","FEMALE","31-40","iPhone 5c"
"Busy","High Voice","FEMALE","31-40","iPhone 5c"
"Daily Grinder","High Voice","FEMALE","31-40","iPhone 5c"
"Busy","Low Usage Overall","FEMALE","31-40","iPhone 5c"
"Delivering The Goods","Low Usage Overall","FEMALE","31-40","iPhone 5c"
"Daily Grinder","High Voice","MALE","31-40","iPhone 5c"
"Homebody","High Voice","MALE","31-40","iPhone 5c"
"Delivering The Goods","High Voice and SMS","MALE","31-40","iPhone 5c"
"Busy","Average User","FEMALE","41-50","iPhone 5c"
"Night Shift","Average User","FEMALE","41-50","iPhone 5c"
"Busy","High Voice","FEMALE","41-50","iPhone 5c"
"Norm Peterson","High Voice","FEMALE","41-50","iPhone 5c"
"Norm Peterson","High Voice and SMS","FEMALE","41-50","iPhone 5c"
"Busy","Low Usage Overall","FEMALE","41-50","iPhone 5c"
"Homebody","Low Usage Overall","FEMALE","41-50","iPhone 5c"
"Delivering The Goods","High SMS - Low Data","MALE","41-50","iPhone 5c"
"Homebody","High SMS - Low Data","MALE","41-50","iPhone 5c"
"Daily Grinder","High Voice","MALE","41-50","iPhone 5c"
"Daily Grinder","Average User","FEMALE","51-65","HTC One"
"Night Shift","Average User","FEMALE","51-65","HTC One"
"Busy","High SMS - Low Data","MALE","51-65","HTC One"
"Homebody","Low Usage Overall","MALE","51-65","HTC One"
"Delivering The Goods","High SMS - Low Data","FEMALE","66+","HTC One"
"Norm Peterson","Big Data","FEMALE","41-50","iPad Air"
"Delivering The Goods","Big Data","MALE","41-50","iPad Air"
"Homebody","Big Data","MALE","41-50","iPad Air"
"Homebody","Big Data","FEMALE","66+","iPad Air"
"Delivering The Goods","Big Data","FEMALE","18-30","iPad Mini 2"
"Night Shift","Big Data","FEMALE","18-30","iPad Mini 2"
"Norm Peterson","Big Data","FEMALE","18-30","iPad Mini 2"
"Busy","Big Data","MALE","18-30","iPad Mini 2"
"Daily Grinder","Big Data","MALE","18-30","iPad Mini 2"
"Delivering The Goods","Big Data","FEMALE","31-40","iPad Mini 2"
"Busy","Big Data","MALE","31-40","iPad Mini 2"
"Homebody","Big Data","MALE","31-40","iPad Mini 2"
"Norm Peterson","Big Data","MALE","31-40","iPad Mini 2"
"Busy","Big Data","MALE","41-50","iPad Mini 2"
"Delivering The Goods","Big Data","MALE","41-50","iPad Mini 2"
"Homebody","Big Data","MALE","41-50","iPad Mini 2"
"Daily Grinder","Big Data","FEMALE","51-65","iPad Mini 2"
"Homebody","Big Data","FEMALE","66+","iPad Mini 2"
"Night Shift","Big Data","FEMALE","66+","iPad Mini 2"
"Daily Grinder","Big Data","MALE","66+","iPad Mini 2"
"Busy","Average User","FEMALE","18-30","iPhone 5"
"Night Shift","High SMS - Low Data","FEMALE","18-30","iPhone 5"
"Daily Grinder","Low Usage Overall","FEMALE","18-30","iPhone 5"
"Delivering The Goods","Low Usage Overall","FEMALE","18-30","iPhone 5"
"Daily Grinder","Average User","MALE","18-30","iPhone 5"
"Delivering The Goods","Average User","MALE","18-30","iPhone 5"
"Norm Peterson","High SMS - Low Data","MALE","18-30","iPhone 5"
"Norm Peterson","Low Usage Overall","MALE","18-30","iPhone 5"
"Daily Grinder","Average User","FEMALE","31-40","iPhone 5"
"Homebody","Average User","FEMALE","31-40","iPhone 5"
"Night Shift","Average User","MALE","31-40","iPhone 5"
"Delivering The Goods","Low Usage Overall","MALE","31-40","iPhone 5"
"Norm Peterson","Low Usage Overall","MALE","31-40","iPhone 5"
"Night Shift","Average User","FEMALE","41-50","iPhone 5"
"Homebody","Low Usage Overall","FEMALE","41-50","iPhone 5"
"Night Shift","Low Usage Overall","FEMALE","41-50","iPhone 5"
"Homebody","Average User","MALE","41-50","iPhone 5"
"Night Shift","Average User","MALE","41-50","iPhone 5"
"Homebody","High SMS - Low Data","MALE","41-50","iPhone 5"
"Busy","High Voice and SMS","FEMALE","18-30","Blackberry PRIV"
"Daily Grinder","High Voice","MALE","18-30","Blackberry PRIV"
"Homebody","High Voice","FEMALE","31-40","Blackberry PRIV"
"Night Shift","High Voice","FEMALE","31-40","Blackberry PRIV"
"Daily Grinder","High Voice and SMS","FEMALE","31-40","Blackberry PRIV"
"Busy","High Voice and SMS","MALE","31-40","Blackberry PRIV"
"Night Shift","High Voice","FEMALE","41-50","Blackberry PRIV"
"Daily Grinder","High Voice and SMS","MALE","41-50","Blackberry PRIV"
"Night Shift","High Voice and SMS","MALE","41-50","Blackberry PRIV"
"Busy","High Voice","FEMALE","51-65","Blackberry PRIV"
"Daily Grinder","High Voice and SMS","FEMALE","51-65","Blackberry PRIV"
"Night Shift","High Voice and SMS","FEMALE","51-65","Blackberry PRIV"
"Delivering The Goods","High Voice","MALE","51-65","Blackberry PRIV"
"Norm Peterson","High Voice","MALE","51-65","Blackberry PRIV"
"Norm Peterson","High Voice and SMS","MALE","51-65","Blackberry PRIV"
"Busy","High Voice","FEMALE","66+","Blackberry PRIV"
"Daily Grinder","High Voice","FEMALE","66+","Blackberry PRIV"
"Delivering The Goods","High Voice","FEMALE","66+","Blackberry PRIV"
"Homebody","High Voice","MALE","66+","Blackberry PRIV"
"Norm Peterson","Low Usage Overall","MALE","51-65","iPhone 5c"
"Homebody","Average User","FEMALE","66+","iPhone 5c"
"Busy","High SMS - Low Data","FEMALE","66+","iPhone 5c"
"Delivering The Goods","High Voice","FEMALE","66+","iPhone 5c"
"Busy","Low Usage Overall","FEMALE","66+","iPhone 5c"
"Homebody","Low Usage Overall","FEMALE","66+","iPhone 5c"
"Norm Peterson","Low Usage Overall","FEMALE","66+","iPhone 5c"
"Norm Peterson","Average User","MALE","66+","iPhone 5c"
"Daily Grinder","High SMS - Low Data","MALE","66+","iPhone 5c"
"Homebody","High SMS - Low Data","MALE","66+","iPhone 5c"
"Busy","High Voice","MALE","66+","iPhone 5c"
"Daily Grinder","High Voice","MALE","66+","iPhone 5c"
"Delivering The Goods","High Voice and SMS","MALE","66+","iPhone 5c"
"Busy","Low Usage Overall","MALE","66+","iPhone 5c"
"Delivering The Goods","Low Usage Overall","MALE","66+","iPhone 5c"
"Busy","Average User","FEMALE","18-30","iPhone 5s"
"Norm Peterson","Average User","FEMALE","18-30","iPhone 5s"
"Night Shift","High SMS - Low Data","FEMALE","31-40","iPhone 5s"
"Daily Grinder","Low Usage Overall","FEMALE","31-40","iPhone 5s"
"Homebody","Low Usage Overall","FEMALE","31-40","iPhone 5s"
"Daily Grinder","Average User","MALE","31-40","iPhone 5s"
"Delivering The Goods","Average User","MALE","31-40","iPhone 5s"
"Homebody","Average User","MALE","31-40","iPhone 5s"
"Night Shift","Average User","MALE","31-40","iPhone 5s"
"Delivering The Goods","High SMS - Low Data","MALE","31-40","iPhone 5s"
"Homebody","High SMS - Low Data","MALE","31-40","iPhone 5s"
"Norm Peterson","High SMS - Low Data","MALE","31-40","iPhone 5s"
"Daily Grinder","High Voice","FEMALE","18-30","Blackberry PRIV"
"Norm Peterson","Average User","MALE","18-30","iPhone 6"
"Busy","Big Data","MALE","18-30","iPhone 6"
"Norm Peterson","Big Data","MALE","18-30","iPhone 6"
"Delivering The Goods","High SMS - Low Data","MALE","18-30","iPhone 6"
"Night Shift","Average User","FEMALE","31-40","iPhone 6"
"Norm Peterson","Average User","FEMALE","31-40","iPhone 6"
"Busy","Big Data","FEMALE","31-40","iPhone 6"
"Homebody","Big Data","FEMALE","31-40","iPhone 6"
"Night Shift","Big Data","FEMALE","31-40","iPhone 6"
"Norm Peterson","Big Data","FEMALE","31-40","iPhone 6"
"Night Shift","High SMS - Low Data","FEMALE","31-40","iPhone 6"
"Daily Grinder","Low Usage Overall","FEMALE","31-40","iPhone 6"
"Delivering The Goods","Average User","MALE","31-40","iPhone 6"
"Busy","Big Data","MALE","31-40","iPhone 6"
"Daily Grinder","Big Data","MALE","31-40","iPhone 6"
"Night Shift","Low Usage Overall","FEMALE","66+","HTC One"
"Busy","Average User","MALE","66+","HTC One"
"Daily Grinder","Average User","MALE","66+","HTC One"
"Homebody","High SMS - Low Data","MALE","66+","HTC One"
"Night Shift","High SMS - Low Data","MALE","66+","HTC One"
"Daily Grinder","Low Usage Overall","MALE","66+","HTC One"
"Night Shift","Low Usage Overall","MALE","66+","HTC One"
"Busy","Big Data","FEMALE","18-30","iPad 2"
"Busy","Big Data","MALE","18-30","iPad 2"
"Delivering The Goods","Big Data","MALE","18-30","iPad 2"
"Norm Peterson","Big Data","MALE","18-30","iPad 2"
"Busy","Big Data","FEMALE","31-40","iPad 2"
"Daily Grinder","Big Data","FEMALE","31-40","iPad 2"
"Homebody","Big Data","FEMALE","31-40","iPad 2"
"Night Shift","Big Data","FEMALE","31-40","iPad 2"
"Busy","Big Data","MALE","31-40","iPad 2"
"Daily Grinder","Big Data","MALE","31-40","iPad 2"
"Delivering The Goods","Big Data","MALE","31-40","iPad 2"
"Busy","Big Data","FEMALE","41-50","iPad 2"
"Homebody","Low Usage Overall","FEMALE","66+","HTC One"
"Daily Grinder","Average User","FEMALE","41-50","iPhone 5s"
"Busy","High SMS - Low Data","FEMALE","41-50","iPhone 5s"
"Night Shift","High SMS - Low Data","FEMALE","41-50","iPhone 5s"
"Daily Grinder","Low Usage Overall","FEMALE","41-50","iPhone 5s"
"Delivering The Goods","Low Usage Overall","FEMALE","41-50","iPhone 5s"
"Delivering The Goods","Average User","MALE","41-50","iPhone 5s"
"Night Shift","Average User","MALE","41-50","iPhone 5s"
